,en,zh,es,hi,ar,pt,ru,ja,jv,de,ko,fr,te,it,tl
hotel,Hotel,酒店,Hotel,होटल,الفندق,Hotel,Отель,ホテル,Hotel,Hotel,호텔,Hôtel,హోటల్,Hotel,Hotel
real,Real,真实的,Verdadero,असली,حقيقة,Real,Настоящий,本物,Nyata,Real,진짜,Réel,రియల్,Vero,Tunay
f,F,F,F,एफ,F,F.,F.,NS,F,F,NS,F,F.,F,F.
item,Item,物品,Artículo,मद,غرض,Item,Элемент,アイテム,Item,Artikel,안건,Article,అంశం,Articolo,Item
international,International,国际的,Internacional,अंतरराष्ट्रीय,دولي,Internacional,Международный,国際的,Internasional,International,국제적인,International,అంతర్జాతీయ,Internazionale,International.
center,Center,中央,Centrar,केंद्र,مركز,Centro,Центр,中心,Pusat,Center,센터,Centre,సెంటర్,Centro,Gitna
ebay,Ebay,eBay.,EBay,EBAY,ئي باي,Ebay.,Ebay.,eBay.,EBay,Ebay,eBay.,EBay,EBay.,Ebay.,EBay.
must,Must,必须,Debe,अवश्य,يجب,Deve,Должен,しなければならない,Mesti,Muss,해야하다,Doit,తప్పనిసరిగా,dovere,Dapat
store,Store,店铺,Tienda,दुकान,متجر,Armazenar,Магазин,店,Toko,Geschäft,가게,Boutique,భద్రపరచు,Negozio,Tindahan
travel,Travel,旅行,Viaje,यात्रा,السفر,Viajar por,Путешествовать,旅行,Wisata,Reisen,여행하다,Voyager,ప్రయాణం,Viaggiare,Paglalakbay
comments,Comments,注释,Comentarios,टिप्पणियाँ,تعليقات,Comentários,Комментарии,コメント,Komentar,Kommentare,코멘트,commentaires,వ్యాఖ్యలు,Commenti,Puna
made,Made,制作,Hecha,बनाया गया,صنع,Feito,Сделал,作る,Digawe,Gemacht,만들어진,Fabriqué,మేడ్,Fatto,Ginawa
development,Development,发展,Desarrollo,विकास,تطوير,Desenvolvimento,Разработка,発達,Pangembangan,Entwicklung,개발,Développement,అభివృద్ధి,Sviluppo,Pag-unlad
report,Report,报告,Reporte,प्रतिवेदन,تقرير,Relatório,Отчет,報告,Laporan,Prüfbericht,보고서,Signaler,నివేదిక,Rapporto,Ulat
off,Off,离开,Apagado,बंद,اطفء,Desligado,Выключенный,オフ,Mati,aus,끄다,Désactivé,విడిచిపెట్టు,Spento,Off.
member,Member,成员,Miembro,सदस्य,عضو,Membro,Член,メンバー,Anggota,Mitglied,회원,Membre,సభ్యుడు,Membro,Miyembro
details,Details,细节,Detalles,विवरण,تفاصيل,Detalhes,Подробности,詳細,Rincian,Einzelheiten,세부,Des détails,వివరాలు,Particolari,Mga detalye
line,Line,线,Línea,रेखा,خط,Linha,Линия,ライン,Garis,Leitung,선,Ligne,లైన్,Linea,Linya
terms,Terms,术语,Condiciones,मामले,مصطلحات,Termos.,Условия,条項,Sarat,Bedingungen,자귀,termes,నిబంధనలు,Termini,Mga tuntunin
before,Before,前,Antes,पहले,قبل,Antes,До,前,Sadurunge,Vor,전에,Avant,ముందు,Prima,Bago
hotels,Hotels,酒店,Hoteles hoteles,होटल,الفنادق,Hotéis,Отели,ホテル予約,Hotels,Hotel,호텔,Hôtels,హోటల్స్,Hotel,Mga Hotel
did,Did,做过,Hizo,किया था,فعلت,Fez,Делал,やりました,Durung,Tat,했다,Fait,చేసిన,Fatto,Did.
send,Send,发送,Enviar,भेजना,يرسل,Mandar,послать,送信,Kirimi,Senden,보내다,Envoyer,పంపించు,Spedire,Ipadala
right,Right,对,Derecha,सही,حق,Direito,Верно,右,Tengen,Rechts,오른쪽,Droit,సరియైనది,Destra,Tama
type,Type,类型,Escribe,प्रकार,نوع,Modelo,Тип,タイプ,Ketik,Typ,유형,Taper,రకం,Tipo,Type.
because,Because,因为,Porque,चूंकि,لأن,Porque,Потому что,なぜなら,Amarga,Weil,때문에,Parce que,ఎందుకంటే,Perché,Dahil
local,Local,当地的,Local,स्थानीय,محلي,Local,Местный,ローカル,Lokal,Lokal,현지의,Local,స్థానిక,Locale,Lokal
those,Those,那些,Aquellos,वे,أولئك,Aqueles,Те,それらの,Sing,Jene,저것들,Celles,ఆ,Quelli,Yaong mga iyon
using,Using,使用,Utilizando,का उपयोग करते हुए,استخدام,Usando,С использованием,using,Nggunakake,Verwendet,사용,À l'aide de,ఉపయోగించి,Usando,Gamit
results,Results,结果,Resultados,परिणाम,نتائج,Resultados,Полученные результаты,結果,Asil,Ergebnisse,결과,Résultats,ఫలితాలు,Risultati,Resulta
office,Office,办公室,Oficina,कार्यालय,مكتب,Escritório,Офис,オフィス,Kantor,Büro,사무실,Bureau,ఆఫీసు,Ufficio,Opisina
education,Education,教育,Educación,शिक्षा,تعليم,Educação,Образование,教育,Pendhidhikan,Ausbildung,교육,Éducation,చదువు,Formazione scolastica,Edukasyon
national,National,国民,Nacional,राष्ट्रीय,وطني,Nacional,Национальный,全国,Nasional,National,국가의,nationale,జాతీయ,Nazionale,Pambansa
car,Car,车,Coche,कार,السيارات,Carro,Автомобиль,車両,Mobil,Auto,자동차,Auto,కారు,Macchina,Car.
design,Design,设计,Diseño,डिज़ाइन,تصميم,Projeto,Дизайн,設計,Desain,Entwurf,설계,Concevoir,రూపకల్పన,Design,Disenyo
take,Take,拿,Llevar,लेना,يأخذ,Leva,Брать,取る,Njupuk,Nehmen,가져 가다,Prendre,తీసుకోవడం,Prendere,Tumagal
posted,Posted,发布,Al corriente,की तैनाती,نشر,Postou,Опубликовано,掲示された,Dikirim,Gesendet,게시 됨,Posté,పోస్ట్,Pubblicato,Posted.
internet,Internet,互联网,Internet,इंटरनेट,إنترنت,Internet,Интернет,インターネット,Internet,Internet,인터넷,l'Internet,అంతర్జాలం,Internet,Internet
address,Address,地址,Dirección,पता,عنوان,Endereço,Адрес,住所,Alamat,Die Anschrift,주소,Adresse,చిరునామా,Indirizzo,Address.
community,Community,社区,Comunidad,समुदाय,تواصل اجتماعي,Comunidade,Сообщество,コミュニティ,Komunitas,Gemeinschaft,지역 사회,Communauté,సంఘం,Comunità,Komunidad
within,Within,之内,Dentro de,अंदर,داخل,Dentro de,В,以内に,Ing njero,Innerhalb,이내에,Dans,లోపల,Entro,Sa loob ng
states,States,状态,Estados,राज्य अमेरिका,تنص على,Afirma,состояния,都雅に,Negara-negara,Zustände,주,États,రాష్ట్రాలు,stati,Estado
area,Area,区域,Zona,क्षेत्र,منطقة,Área,Площадь,領域,Area,Bereich,지역,Zone,ప్రాంతం,La zona,Lugar
want,Want,想,Querer,चाहते हैं,يريد,Quer,Хотеть,欲しい,Pengin,Wollen,원하다,Vouloir,కావలసిన,Volere,Gusto
phone,Phone,电话,Teléfono,फ़ोन,هاتف,Telefone,Телефон,電話,Telpon,Telefon,핸드폰,Téléphone,ఫోన్,Telefono,Telepono
dvd,Dvd,DVD,DVD,डीवीडी,دي في دي,DVD,DVD.,DVD,DVD,DVD,DVD,DVD,Dvd.,DVD,DVD.
shipping,Shipping,运输,Transporte,शिपिंग,شحن,Envio,Перевозки,運送,Pengiriman,Versand,배송,Expédition,షిప్పింగ్,Spedizione,Pagpapadala
reserved,Reserved,预订的,Reservado,सुरक्षित,محجوز,Reservado,Зарезервированный,予約済み,Dilindhungi,Reserviert,예약 된,Réservé,రిజర్వేషన్,Riservato,Reserbado
subject,Subject,主题,Tema,विषय,موضوعات,Sujeito,Тема,主題,Subyek,Gegenstand,주제,Sujet,విషయం,Soggetto,Paksa
between,Between,之间,Entre,बीच में,بين,Entre,Между,間,Antarane,Zwischen,사이,Entre,మధ్య,Tra,Sa pagitan ng
forum,Forum,论坛,Foro,मंच,منتدى,Fórum,Форум,フォーラム,Forum,Forum,법정,Forum,ఫోరం,Forum,Forum.
family,Family,家庭,Familia,परिवार,أسرة,Família,Семья,家族,Kulawarga,Familie,가족,Famille,కుటుంబం,Famiglia,Pamilya
l,L,L.,L,एल,ل,eu,Ливня,l,L,L.,엘,L,L.,L.,L.
long,Long,长,Largo,लंबा,طويل,Grande,Длинный,長さ,Dawa,Lang,긴,Longue,పొడవైన,Lungo,Mahaba
based,Based,基于,Basado,आधारित,على أساس,Sediada,На основании,based,Adhedhasar,Basierend,기반을 둔,Basé,ఆధారిత,Basato,Batay
w,W,W.,W,डब्ल्यू,د,C,Вал,w,W,W.,습득,À,W.,W.,W.
code,Code,代码,Código,कोड,الشفرة,Código,Код,コード,Kode,Code,암호,Code,కోడ్,Codice,Code.
show,Show,展示,Show,प्रदर्शन,تبين,Mostrar,Показать,見せる,Tampilake,Zeigen,보여 주다,Spectacle,చూపు,Spettacolo,Palabas
o,O,O.,O,हे,في,O.,О,o,O,Ö,영형,À,O.,O.,O.
even,Even,甚至,Incluso,यहां तक की,حتى في,Até,Даже,平,Malah,Sogar,조차,Même,కూడా,Persino,Kahit
black,Black,黑色的,Negro,काला,أسود,Preto,Чернить,黒,Ireng,Schwarz,검은 색,Le noir,నలుపు,Nero,Itim
check,Check,查看,Cheque,जाँच,التحقق من,Verificar,Проверять,チェック,Priksa,Prüfen,확인하다,Vérifier,తనిఖీ,Dai un'occhiata,Check.
special,Special,特别的,Especial,विशेष,مميز,Especial,Особый,特別な,Khusus,Speziell,특별한,Spécial,ప్రత్యేక,Speciale,Espesyal
prices,Prices,价格,Precios,कीमतों,الأسعار.,Preços,Цены,価格,Harga,Preise,물가,Des prix,ధరలు,Prezzi,Mga presyo
website,Website,网站,Sitio web,वेबसाइट,موقع الكتروني,Local na rede Internet,Веб-сайт,Webサイト,Situs web,Webseite,웹 사이트,Site Internet,వెబ్సైట్,Sito web,Website
index,Index,指数,Índice,अनुक्रमणिका,فهرس,Índice,Показатель,索引,Indeks,Index,색인,Indice,ఇండెక్స్,Indice,Index
being,Being,存在,Ser,हो रहा,يجرى,Ser,Существование,であること,Dadi,Sein,존재,Étant,ఉండటం,Essendo,Pagiging
women,Women,女性,Mujeres,महिला,نساء,Mulheres,Женщины,女性,Wanita,Frauen,여성,Femmes,మహిళలు,Donne,Babae
much,Much,很多,Mucho,बहुत,كثير,Muito,Много,多くの,Akeh,Viel,많이,Beaucoup,చాలా,Tanto,Magkano
sign,Sign,标志,Firmar,संकेत,لافتة,Sinal,Подписать,サイン,Tandha,Unterschrift,징후,Signe,గుర్తు,Cartello,Tanda
file,File,文件,Expediente,फ़ाइल,ملف,Arquivo,Файл,ファイル,File,Datei,파일,Déposer,ఫైల్,File,File.
link,Link,关联,Enlace,संपर्क,وصلة,Ligação,Ссылка,リンク,Link,Verknüpfung,링크,Relier,లింక్,Collegamento,Link.
open,Open,打开,Abierto,खोलना,افتح,Abrir,Открытым,開ける,Mbukak,Offen,열려있는,Ouvert,తెరవండి,Aprire,Bukas
today,Today,今天,Hoy dia,आज,اليوم,Hoje,Сегодня,今日,Dina iki,Heute,오늘,Aujourd'hui,నేడు,Oggi,Ngayon
technology,Technology,技术,Tecnología,प्रौद्योगिकी,تقنية,Tecnologia,Технология,テクノロジー,Teknologi,Technologie,기술,La technologie,సాంకేతికం,Tecnologia,Teknolohiya.
south,South,南,Sur,दक्षिण,جنوب,Sul,юг,南,Kidul,Süd,남쪽,Sud,దక్షిణ,Sud,Timog
case,Case,案件,Caso,मामला,قضية,Caso,Случай,場合,Kasus,Fall,사례,Cas,కేసు,Caso,Kaso
project,Project,项目,Proyecto,परियोजना,مشروع,Projeto,Проект,計画,Proyek,Projekt,프로젝트,Projet,ప్రాజెక్ట్,Progetto,Proyekto
same,Same,相同的,Mismo,वैसा ही,نفس,Mesmo,Тем же,同じ,Padha,Dasselbe,같은,Même,అదే,Stesso,Pareho
pages,Pages,页面,Páginas,पृष्ठों,الصفحات,Páginas,Страницы,ページ,Kaca,Seiten,페이지,Pages,పేజీలు,Pagine,Mga Pahina
uk,Uk,英国,Reino Unido,यूके,المملكة المتحدة,Reino Unido,Соединенное Королевство,イギリス,Inggris,Vereinigtes Königreich,영국,Royaume-Uni,UK.,UK,UK
version,Version,版本,Versión,संस्करण,إصدار,Versão,Версия,バージョン,Versi,Ausführung,버전,Version,సంస్కరణ: Telugu,Versione,Bersyon
section,Section,部分,Sección,अनुभाग,الجزء,Seção,Раздел,セクション,Bagean,Abschnitt,부분,Section,విభాగము,Sezione,Seksyon
own,Own,自己的,Propio,अपना,ملك,Ter,Собственный,自分の,Duwe,Besitzen,소유하다,Posséder,స్వంతం,Proprio,Pagmamay-ari
found,Found,成立,Fundar,मिला,وجد,Encontrado,Нашел,見つかった,Ditemokake,Gefunden,설립하다,Trouvé,కనుగొన్నారు,Trovato,Natagpuan
sports,Sports,运动的,Deportes,खेल,رياضات,Esportes,Спортивный,スポーツ,Olahraga,Sport,스포츠,Des sports,క్రీడలు,Gli sport,laro
house,House,房子,casa,मकान,منزل,casa,дом,家,Omah,Haus,집,loger,హౌస్,Casa,Bahay
related,Related,有关的,Relacionado,सम्बंधित,متعلق ب,Relacionado,Связанный,関連している,Related,Verwandt,관련된,En rapport,సంబంధిత,Imparentato,Nauugnay
security,Security,安全,Seguridad,सुरक्षा,حماية,Segurança,Безопасность,安全,Keamanan,Sicherheit,보안,Sécurité,భద్రత,Sicurezza,Seguridad
both,Both,两个都,Ambos,दोनों,على حد سواء,Ambos,Оба,両方,Kalorone,Beide,둘 다,Les deux,రెండు,Entrambi,Pareho
g,G,G,GRAMO,जी,جيم,G.,грамм,NS,G,g,NS,g,G.,G,G.
county,County,县,condado,काउंटी,مقاطعة,condado,округ,郡,Kabupaten,Bezirk,군,comté,కౌంటీ,contea,County.
american,American,美国人,americano,अमेरिकन,أمريكي,americano,Американец,american,Amerika,amerikanisch,미국 사람,américain,అమెరికన్,americano,Amerikano
photo,Photo,照片,Foto,तस्वीर,صورة فوتوغرافية,foto,Фото,写真,Foto,Foto,사진,photo,ఫోటో,Foto,Larawan
game,Game,游戏,Juego,खेल,لعبة,Jogo,Игра,ゲーム,Game,Spiel,게임,Jeu,ఆట,Gioco,Laro
members,Members,成员,Miembros,सदस्यों,أعضاء,Membros,Члены,メンバー,Anggota,Mitglieder,회원들,Membres,సభ్యులు,Membri,Mga miyembro
power,Power,力量,Poder,शक्ति,قوة,Poder,Власть,力,Kekuwatan,Leistung,힘,Puissance,శక్తి,Potenza,Power.
while,While,尽管,Tiempo,जबकि,في حين,Enquanto,В то время как,その間,Nalika,Während,하는 동안,Tandis que,అయితే,Mentre,Habang
care,Care,关心,Cuidado,देखभाल,رعاية,Cuidado,Забота,ケア,Care,Pflege,케어,Se soucier,రక్షణ,Cura,Pag-aalaga
network,Network,网络,La red,नेटवर्क,شبكة الاتصال,Rede,Сеть,通信網,Jaringan,Netzwerk,회로망,Réseau,నెట్వర్క్,Rete,Network.
down,Down,下,Abajo,नीचे,تحت,Baixa,Вниз,下,Mudhun,Runter,아래에,Vers le bas,డౌన్,Fuori uso,Pababa
computer,Computer,计算机,Computadora,संगणक,الحاسوب,Computador,Компьютерный,コンピューター,Komputer,Rechner,컴퓨터,Ordinateur,కంప్యూటర్,Computer,Computer
systems,Systems,系统,Sistemas,प्रणाली,نظم,Sistemas,Система,システム,Sistem,Systeme,시스템,Système,వ్యవస్థలు,Sistemi,Systems.
three,Three,三,Tres,तीन,ثلاثة,Três,Три,三,Telu,Drei,삼,Trois,మూడు,Tre,Tatlong
total,Total,全部的,Total,कुल,المجموع,Total,Общий,合計,Total,Gesamt,총,Le total,మొత్తం,Totale,Kabuuan
place,Place,地方,Lugar,जगह,مكان,Lugar,Место,場所,Panggonan,Stelle,장소,Endroit,స్థలం,Luogo,Lugar
end,End,结尾,Fin,समाप्त,نهاية,Fim,Конец,終わり,Pungkasan,Ende,끝,Finir,చివరగా,Fine,Dulo
following,Following,下列的,Siguiente,निम्नलिखित,التالية,Seguindo,Следующий,続く,Dipuntedahaken,Folgen,수행원,Suivant,తరువాత,A seguire,Sumusunod
download,Download,下载,Descargar,डाउनलोड,تحميل,Download,Скачать,ダウンロード,Download,Herunterladen,다운로드,Télécharger,డౌన్లోడ్,Scarica,I-download
h,H,H,H,एच,حاء,H.,ЧАС,NS,H,h,시간,H,H.,h,H.
him,Him,他,Él,उसे,له,Dele,Его,彼,Wong mau,Ihm,그에게,Lui,అతనికి,Lui,Siya
without,Without,没有,Sin,के बग़ैर,بدون,Sem,Без,それなし,Tanpa,Ohne,없이,Sans,లేకుండా,Privo di,Wala
per,Per,每,Por,प्रति,لكل,Por,Нами,per,Saben,Pro,...에 대한,Par,ప్రతి,Per,Per
access,Access,使用权,Acceso,अभिगम,وصول,Acesso,Доступ,アクセス,Akses,Betreten,접속하다,Accès,యాక్సెస్,Accesso,Access
think,Think,思考,Pensar,सोचना,يفكر,Pensar,Считать,考え,Mikir,Denken,생각한다,Pense,థింక్,Pensare,Isipin
